Sample Number,Site Name,Date (mm/dd/yy),Site,UTM Zone,UTM Easting (m),UTM Northing (m),Elevation (m.a.s.l.),Sample Type,d2H (ä),d18O (ä),Bio Data
58,Palmer Seep,7/21/18,MH,10T,601333,5021068,1859.89,SE,-89.57,-12.62,
59,The Real Buzzard Fountain,7/17/18,MH,10T,602530,5014498,1226.21,SP,-83.88,-12.04,
60,JM-Warm Spring 1,9/15/19,MH,10T,598828,5016602,1164.64,SP,-97.42,-13.53,X
61,JM-Warm Spring 2,9/15/19,MH,10T,598790,5016670,1185.67,SP,-94.3,-13.13,X
62,JM-Warm Spring 3,9/16/19,MH,10T,598846,5016543,1162.81,SP,-99.37,-13.68,X
63,JM-Warm Spring 4,9/16/19,MH,10T,598912,5016653,1165.56,SP,-98.63,-13.7,X
64,JM-Meadows1,9/16/19,MH,10T,604122,5021144,1699.26,SP,-93.21,-13.03,X
65,Sherwood Camp Spring,9/16/19,MH,10T,611907,5027809,965.91,SP,-91.18,-12.15,X
66,The Real Buzzard Fountain,9/17/19,MH,10T,602518,5014500,1280.16,SP,-83.66,-11.9,X
67,Still Creek Campground Precipitation 1,9/17/19,MH,10T,598903,5016442,1118.01,RN,-73.7,-10.42,
68,Base of Cloud Cap Road Precipitation,9/17/19,MH,10T,611806,5030442,883.31,RN,-61.74,-8.39,
69,Cloud Cap Saddle Campground Precipitation,9/17/19,MH,10T,605362,5028773,1781.25,RN,-77.67,-10.63,
70,Timberline Lodge Parking Lot Precipitation,9/17/19,MH,10T,601246,5020549,1789.18,RN,-61.2,-9.52,
71,White River Glacier Outwash,9/18/19,MH,10T,603994,5017615,1298.14,ST,-91.26,-12.77,
72,Timberline Lodge Prepitation,9/18/19,MH,10T,601302,5020719,1792.53,SN,-87.22,-12.1,
73,Still Creek Campground Precipitation 2,9/18/19,MH,10T,598903,5016442,1118.01,RN,-76.5,-11.01,
