"","JM1710_Coe_Spring_Run","JM1711_Paradise_Park_Spring","JM1716_Bell_Spring","JM1717_Buzzard_Fountain","JM1719_Palmer_B","JM1722_James_Spring","JM1724_Lolo_Spring","JM1726_Choss_Seep","JM1727_Zigzag_Spring","JM1728_Coe_Spring_B","JM1766_James_Spring","JM1767_Sandy_Creek_Trib.","JM1776_Buzzard_Fountain","JM1778_Paradise_Park_Spring","JM1785_Choss_Seep"
"Otu00275",59,9,125,2,0,235,1,2,1,175,15,20,0,0,5
"Otu00276",0,0,0,0,0,1,0,0,0,0,0,104,0,0,0
"Otu00277",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Otu00278",9,6,4,1,0,0,5,4,103,65,140,0,0,11,8
"Otu00279",0,0,0,0,0,0,110,1,0,0,0,0,0,50,0
"Otu00281",42,15,166,26,0,189,8,11,6,15,14,25,0,2,19
"Otu00282",0,0,0,0,0,0,0,85,0,0,0,0,0,173,2
"Otu00284",0,0,0,0,0,0,0,0,0,0,8,0,245,0,0
"Otu00285",0,0,0,0,0,0,0,0,0,0,40,0,0,2,3
"Otu00286",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Otu00287",50,14,186,4,2,56,7,6,0,50,16,72,0,4,10
"Otu00288",0,0,564,0,0,0,0,0,0,2,0,105,0,0,0
"Otu00289",6,5,86,5,1,12,12,8,9,70,5,95,5,57,50
"Otu00290",6,0,1,4,0,0,0,0,33,5,0,0,0,0,0
"Otu00291",1,0,1,0,0,0,0,0,0,0,143,0,0,0,19
"Otu00292",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Otu00294",0,0,0,0,0,0,0,0,84,0,0,1,0,32,0
"Otu00295",7,0,2,21,7,43,6,1,0,3,10,2,0,13,0
"Otu00298",0,0,0,0,361,0,0,0,0,0,0,0,0,0,0
"Otu00299",0,0,2,0,0,0,0,0,0,0,0,406,0,0,0
"Otu00300",49,139,0,75,0,0,0,0,0,0,0,0,0,0,130
"Otu00301",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu00303",11,0,28,3,0,20,184,21,0,31,0,35,0,20,2
"Otu00304",0,0,782,0,0,0,0,0,0,0,0,1,0,0,1
"Otu00305",11,5,2,2,14,0,4,25,22,0,13,0,8,0,9
"Otu00306",17,1,37,28,3,6,154,7,0,15,7,3,0,2,0
"Otu00307",4,0,8,7,20,0,2,0,23,11,0,9,0,121,1
"Otu00308",0,0,1,0,0,0,0,0,0,0,0,0,0,0,579
"Otu00309",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu00310",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu00311",0,0,0,2,17,5,101,16,0,0,4,4,0,5,0
"Otu00312",39,13,10,20,5,71,77,5,11,54,1,35,1,14,14
"Otu00313",4,0,4,19,0,1,4,25,37,47,5,0,0,13,231
"Otu00314",0,0,0,5,0,0,0,0,0,0,158,9,0,0,0
"Otu00315",1,4,0,0,55,0,0,0,0,0,0,326,0,0,1
"Otu00316",4,5,3,0,0,6,26,0,0,0,73,13,0,0,0
"Otu00317",77,17,55,15,10,83,5,13,26,42,74,9,0,1,7
"Otu00318",0,0,0,0,0,0,0,0,0,0,5,0,4,0,527
"Otu00319",9,4,0,21,14,23,203,0,0,14,1,4,0,22,0
"Otu00320",48,2,56,33,0,30,23,1,0,69,25,85,0,12,66
"Otu00321",0,0,0,0,0,0,0,0,0,0,0,0,0,166,2
"Otu00322",5,0,2,1,0,0,0,0,0,7,5,0,0,0,6
"Otu00323",0,0,0,45,0,0,0,0,0,31,0,0,0,4,0
"Otu00324",1,0,1,0,301,0,25,0,0,0,0,3,1,0,0
"Otu00325",1,0,0,3,0,0,0,0,0,0,5,4,0,4,16
"Otu00326",122,4,5,27,0,25,42,2,0,59,19,17,0,21,52
"Otu00327",0,11,3,25,0,0,1,58,149,0,17,24,1,24,1
"Otu00328",0,0,0,0,0,0,0,196,113,0,24,12,0,0,0
"Otu00329",183,3,0,0,0,4,0,7,0,191,83,2,0,0,39
"Otu00330",11,5,19,8,29,1,32,4,0,2,1,8,0,18,0
"Otu00331",0,2,0,0,0,0,0,0,0,2,0,4,4,198,0
"Otu00332",0,236,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu00333",0,0,0,0,0,0,0,0,0,0,1,0,1,0,528
"Otu00334",41,0,0,1,0,0,0,0,0,0,3,1,0,2,0
"Otu00335",50,53,1,22,6,26,53,13,2,25,1,38,0,44,6
"Otu00336",195,13,1,9,1,158,10,14,0,48,8,21,0,3,14
"Otu00337",10,0,3,9,0,0,12,0,0,0,2,0,0,165,0
"Otu00338",15,33,14,2,12,158,29,12,0,36,29,57,0,2,1
"Otu00339",2,0,0,0,0,0,0,0,0,1,253,0,0,0,0
"Otu00340",33,0,5,226,0,0,0,0,0,5,0,0,0,0,60
"Otu00341",0,1,0,0,0,0,0,0,0,6,1,0,723,0,0
"Otu00343",6,0,12,36,0,3,1,8,0,12,24,8,0,44,10
"Otu00344",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu00345",0,0,0,370,0,0,0,0,0,0,0,0,0,0,0
"Otu00346",39,37,20,11,0,59,48,4,0,85,5,38,0,19,28
"Otu00347",10,1,9,2,84,10,49,26,0,14,1,15,0,51,0
"Otu00348",176,25,0,34,0,120,0,0,0,71,6,9,0,10,0
"Otu00349",0,40,0,7,0,0,0,0,0,0,26,0,1,0,2
"Otu00350",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu00351",5,32,0,80,0,6,2,0,0,57,9,1,0,46,0
"Otu00352",0,0,0,0,0,0,0,0,0,0,364,0,0,0,2
"Otu00353",18,0,0,139,0,1,1,0,0,18,0,0,0,0,0
"Otu00354",4,0,0,0,0,3,0,0,0,0,316,0,0,0,0
"Otu00355",1,0,1,0,218,0,0,0,0,0,0,6,0,1,0
"Otu00356",0,0,0,0,152,0,0,0,0,0,0,0,0,0,0
"Otu00357",0,0,29,38,34,0,98,1,0,0,0,29,0,22,0
"Otu00358",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu00359",3,51,308,14,0,20,17,0,0,12,0,25,0,4,6
"Otu00360",0,0,3,0,0,1,0,61,72,18,48,128,1,32,0
"Otu00361",0,0,4,14,4,0,8,0,1,11,0,5,0,2,0
"Otu00362",27,0,0,0,6,2,9,1,0,18,0,0,0,5,0
"Otu00363",1,0,0,6,0,0,0,26,16,0,2,156,0,0,0
"Otu00364",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Otu00365",0,104,0,6,0,0,0,2,0,0,5,0,0,0,0
"Otu00366",0,160,0,0,0,0,0,0,0,1,0,0,0,0,25
"Otu00367",0,72,0,0,13,0,0,0,1,0,0,0,3,3,0
"Otu00368",0,0,0,1,0,0,0,30,33,7,0,35,0,44,0
"Otu00369",0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
"Otu00371",149,6,4,25,4,100,11,3,0,23,6,0,0,17,3
"Otu00372",0,0,0,0,0,1,261,0,0,0,1,0,0,0,0
"Otu00373",1,0,1,57,0,0,0,0,0,0,65,0,0,0,1
"Otu00374",0,0,0,2,0,0,0,0,0,0,0,0,0,227,1
"Otu00375",0,0,0,0,0,0,0,31,0,0,6,0,0,0,0
"Otu00376",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu00378",101,10,92,0,3,193,0,0,0,69,3,1,0,0,1
"Otu00379",3,0,0,0,0,0,0,0,16,0,0,0,0,0,0
"Otu00380",77,3,12,15,0,320,5,0,0,161,0,18,0,1,0
