"","JM1713_Rubideau","JM1714_Lunch_Creek","JM1715_Mineral_Creek_Spring","JM1741_McDonald_Creek_1","JM175_Mtn_Goat","JM1762_Mtn_Goat","JM1773_Lunch_Creek","JM1774_Crack_Spring","JM177_Piegan_North","JM179_Weeping_Wall"
"Otu00371",1,0,1,0,1,0,0,15,0,0
"Otu00372",0,0,0,0,0,1,0,0,0,0
"Otu00373",0,178,6,0,0,0,0,0,0,0
"Otu00374",0,0,0,0,0,0,0,0,0,0
"Otu00375",0,0,0,0,0,0,0,0,0,0
"Otu00376",21,0,35,301,0,0,0,0,0,3
"Otu00378",0,0,0,1,0,0,4,0,0,0
"Otu00379",0,0,0,115,3,0,242,0,0,0
"Otu00380",0,0,0,0,1,0,1,10,0,0
"Otu00381",0,0,0,0,0,0,0,0,0,0
"Otu00382",0,0,0,0,0,0,0,0,0,0
"Otu00383",0,0,501,0,0,0,0,0,0,0
"Otu00384",0,0,0,0,0,73,0,0,0,0
"Otu00385",0,46,0,0,1,0,1,0,0,0
"Otu00386",0,0,0,0,0,0,0,0,0,0
"Otu00387",0,0,0,0,0,205,0,0,0,0
"Otu00388",0,0,0,0,0,0,0,21,0,0
"Otu00389",0,0,0,0,0,0,0,0,0,0
"Otu00391",0,166,0,1,0,0,0,0,0,0
"Otu00392",0,0,0,0,0,0,93,0,0,0
"Otu00393",0,0,0,118,17,0,0,31,0,0
"Otu00394",0,0,1,53,6,0,42,46,0,11
"Otu00395",0,0,0,0,0,0,0,0,0,0
"Otu00396",0,0,0,0,0,0,0,0,1,0
"Otu00397",0,0,0,0,0,0,9,0,0,0
"Otu00398",0,0,0,0,0,1,0,359,0,0
"Otu00399",90,31,2,1,2,11,1,0,0,12
"Otu00400",0,0,0,0,0,0,9,0,0,0
"Otu00401",0,0,0,0,0,0,0,25,0,0
"Otu00402",6,0,86,2,25,0,0,14,0,0
"Otu00403",0,0,0,0,0,0,0,32,0,0
"Otu00405",0,0,6,1,12,0,2,4,0,16
"Otu00406",19,87,1,0,1,0,0,0,0,0
"Otu00407",0,0,0,0,0,0,0,0,17,0
"Otu00409",0,0,143,21,0,0,0,18,0,0
"Otu00410",0,22,0,0,13,18,3,18,0,25
"Otu00411",15,0,0,0,0,0,0,0,0,39
"Otu00413",0,0,0,0,0,0,0,0,247,0
"Otu00414",0,0,0,7,0,0,0,0,0,0
"Otu00416",0,0,0,0,0,0,0,0,0,0
"Otu00417",0,0,0,1,0,0,0,7,0,0
"Otu00418",0,0,232,157,0,0,0,0,0,0
"Otu00419",0,0,1,3,0,0,5,31,0,0
"Otu00420",0,30,19,24,0,0,0,0,0,63
