"","Kingdom","Phylum","Class","Order","Family","Genus"
"Otu14886","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Verrucomicrobiales","Verrucomicrobiaceae","uncultured"
"Otu14887","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Verrucomicrobiales","Verrucomicrobiales_fa","Verrucomicrobiales_ge"
"Otu14889","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Verrucomicrobiales","Verrucomicrobiaceae","Verrucomicrobium"
"Otu14890","Bacteria","Actinobacteriota","Thermoleophilia","Gaiellales","uncultured","uncultured_ge"
"Otu14891","Bacteria","Verrucomicrobiota","Chlamydiae","Chlamydiales","Simkaniaceae","uncultured"
"Otu14892","Bacteria","Acidobacteriota","Blastocatellia","11-24","11-24_fa","11-24_ge"
"Otu14893","Bacteria","Acidobacteriota","Blastocatellia","11-24","11-24_fa","11-24_ge"
"Otu14894","Bacteria","Verrucomicrobiota","Chlamydiae","Chlamydiales","cvE6","cvE6_ge"
"Otu14895","Bacteria","Actinobacteriota","Thermoleophilia","Gaiellales","uncultured","uncultured_ge"
"Otu14896","Bacteria","Verrucomicrobiota","Chlamydiae","Chlamydiales","Simkaniaceae","Ga0074140"
"Otu14897","Bacteria","Acidobacteriota","Blastocatellia","11-24","11-24_fa","11-24_ge"
"Otu14898","Bacteria","Verrucomicrobiota","Chlamydiae","Chlamydiales","Parachlamydiaceae","Candidatus_Protochlamydia"
"Otu14899","Bacteria","Acidobacteriota","Blastocatellia","11-24","11-24_fa","11-24_ge"
"Otu14900","Bacteria","Acidobacteriota","Blastocatellia","11-24","11-24_fa","11-24_ge"
"Otu14901","Bacteria","Verrucomicrobiota","Chlamydiae","Chlamydiales","Simkaniaceae","Simkaniaceae_unclassified"
"Otu14902","Bacteria","Verrucomicrobiota","Chlamydiae","Chlamydiales","Simkaniaceae","uncultured"
"Otu14903","Bacteria","Actinobacteriota","Thermoleophilia","Gaiellales","uncultured","uncultured_ge"
"Otu14908","Bacteria","Patescibacteria","Saccharimonadia","Saccharimonadales","WWH38","WWH38_ge"
"Otu14909","Bacteria","Patescibacteria","Saccharimonadia","Saccharimonadales","Saccharimonadales_unclassified","Saccharimonadales_unclassified"
"Otu14910","Bacteria","Patescibacteria","Saccharimonadia","Saccharimonadales","WWH38","WWH38_ge"
"Otu14911","Bacteria","Patescibacteria","Saccharimonadia","Saccharimonadales","Saccharimonadales_fa","Saccharimonadales_ge"
"Otu14912","Bacteria","Patescibacteria","Saccharimonadia","Saccharimonadales","Saccharimonadales_unclassified","Saccharimonadales_unclassified"
"Otu14913","Bacteria","Verrucomicrobiota","Chlamydiae","Chlamydiales","Simkaniaceae","Simkaniaceae_unclassified"
"Otu14914","Bacteria","Verrucomicrobiota","Chlamydiae","Chlamydiales","Criblamydiaceae","Estrella"
"Otu14915","Bacteria","Verrucomicrobiota","Chlamydiae","Chlamydiales","cvE6","cvE6_ge"
"Otu14916","Bacteria","Verrucomicrobiota","Chlamydiae","Chlamydiales","Parachlamydiaceae","Candidatus_Protochlamydia"
"Otu14917","Bacteria","Verrucomicrobiota","Chlamydiae","Chlamydiales","Simkaniaceae","Simkaniaceae_unclassified"
"Otu14918","Bacteria","Verrucomicrobiota","Chlamydiae","Chlamydiales","Simkaniaceae","Simkaniaceae_unclassified"
"Otu14920","Bacteria","Verrucomicrobiota","Chlamydiae","Chlamydiales","cvE6","cvE6_ge"
"Otu14921","Bacteria","Verrucomicrobiota","Chlamydiae","Chlamydiales","Parachlamydiaceae","Parachlamydiaceae_unclassified"
"Otu14924","Bacteria","Verrucomicrobiota","Chlamydiae","Chlamydiales","Parachlamydiaceae","Neochlamydia"
"Otu14926","Bacteria","Verrucomicrobiota","Chlamydiae","Chlamydiales","cvE6","cvE6_ge"
"Otu14927","Bacteria","Verrucomicrobiota","Chlamydiae","Chlamydiales","Parachlamydiaceae","Parachlamydiaceae_unclassified"
"Otu14929","Bacteria","Verrucomicrobiota","Chlamydiae","Chlamydiales","cvE6","cvE6_ge"
"Otu14930","Bacteria","Verrucomicrobiota","Chlamydiae","Chlamydiales","Simkaniaceae","Candidatus_Rhabdochlamydia"
"Otu14931","Bacteria","Actinobacteriota","Thermoleophilia","Gaiellales","uncultured","uncultured_ge"
"Otu14932","Bacteria","Verrucomicrobiota","Chlamydiae","Chlamydiales","Parachlamydiaceae","Neochlamydia"
"Otu14933","Bacteria","Verrucomicrobiota","Chlamydiae","Chlamydiales","Simkaniaceae","uncultured"
"Otu14937","Bacteria","Patescibacteria","Saccharimonadia","Saccharimonadales","Saccharimonadaceae","Saccharimonadaceae_unclassified"
"Otu14938","Bacteria","Patescibacteria","Saccharimonadia","Saccharimonadales","WWH38","WWH38_ge"
"Otu14939","Bacteria","Patescibacteria","Saccharimonadia","Saccharimonadales","WWH38","WWH38_ge"
"Otu14940","Bacteria","Patescibacteria","Saccharimonadia","Saccharimonadales","LWQ8","LWQ8_ge"
"Otu14942","Bacteria","Patescibacteria","Saccharimonadia","Saccharimonadales","Saccharimonadales_fa","Saccharimonadales_ge"
"Otu14943","Bacteria","Patescibacteria","Saccharimonadia","Saccharimonadales","LWQ8","LWQ8_ge"
"Otu14945","Bacteria","Patescibacteria","Saccharimonadia","Saccharimonadales","LWQ8","LWQ8_ge"
"Otu14946","Bacteria","Patescibacteria","Saccharimonadia","Saccharimonadales","Saccharimonadales_unclassified","Saccharimonadales_unclassified"
"Otu14947","Bacteria","Patescibacteria","Saccharimonadia","Saccharimonadales","Saccharimonadales_unclassified","Saccharimonadales_unclassified"
"Otu14949","Bacteria","Patescibacteria","Saccharimonadia","Saccharimonadales","LWQ8","LWQ8_ge"
"Otu14952","Bacteria","Patescibacteria","Saccharimonadia","Saccharimonadales","LWQ8","LWQ8_ge"
"Otu14953","Bacteria","Patescibacteria","Saccharimonadia","Saccharimonadales","LWQ8","LWQ8_ge"
"Otu14955","Bacteria","Patescibacteria","Saccharimonadia","Saccharimonadales","WWH38","WWH38_ge"
"Otu14956","Bacteria","Patescibacteria","Saccharimonadia","Saccharimonadales","LWQ8","LWQ8_ge"
"Otu14959","Bacteria","Patescibacteria","Saccharimonadia","Saccharimonadales","Saccharimonadales_fa","Saccharimonadales_ge"
"Otu14960","Bacteria","Patescibacteria","Saccharimonadia","Saccharimonadales","Saccharimonadales_fa","Saccharimonadales_ge"
"Otu14961","Bacteria","Patescibacteria","Saccharimonadia","Saccharimonadales","Saccharimonadales_fa","Saccharimonadales_ge"
"Otu14962","Bacteria","Patescibacteria","Saccharimonadia","Saccharimonadales","Saccharimonadales_fa","Saccharimonadales_ge"
"Otu14965","Bacteria","Patescibacteria","Saccharimonadia","Saccharimonadales","Saccharimonadaceae","Saccharimonadaceae_unclassified"
"Otu14966","Bacteria","Patescibacteria","Saccharimonadia","Saccharimonadales","LWQ8","LWQ8_ge"
"Otu14967","Bacteria","Patescibacteria","Saccharimonadia","Saccharimonadales","LWQ8","LWQ8_ge"
"Otu14970","Bacteria","Verrucomicrobiota","Chlamydiae","Chlamydiales","Simkaniaceae","Ga0074140"
"Otu14972","Bacteria","Patescibacteria","Saccharimonadia","Saccharimonadales","Saccharimonadales_fa","Saccharimonadales_ge"
"Otu14975","Bacteria","Patescibacteria","Saccharimonadia","Saccharimonadales","Saccharimonadales_fa","Saccharimonadales_ge"
"Otu14977","Bacteria","Patescibacteria","Saccharimonadia","Saccharimonadales","LWQ8","LWQ8_ge"
"Otu14978","Bacteria","Patescibacteria","Saccharimonadia","Saccharimonadales","WWH38","WWH38_ge"
"Otu14980","Bacteria","Patescibacteria","Saccharimonadia","Saccharimonadales","LWQ8","LWQ8_ge"
"Otu14981","Bacteria","Acidobacteriota","Subgroup_25","Subgroup_25_or","Subgroup_25_fa","Subgroup_25_ge"
