alt_sample_name,sample_name,date,SampleID_16S,SampleID_18S,bio_rep,location,sample_type,latitude,longitude,elevation_m,ysi_temp,ysi_do,ysi_spc,ysi_ph,ysi_orp,alkalinity_caco3,bicarbonate_hco3,calcium,chloride,magnesium,potassium,sio2,sodium,strontium,sulfate,tds,dist_from_summit,fi_Best,quadrant,quadrant_ew,region
Lolo Spring,Lolo Spring,7/25/17,JM1724_Lolo_Spring,JM1724_Lolo_Spring,0,MH,Spring,45.49070234,-121.754485,686.71,5.3,11.3,39.4,6.38,245.4,24,30,3.77,0.821,1.22,0.72,23.9,2.62,0.026,0.194,48,13796,0.28,NW,West,Outlier
Lolo Spring,Lolo Spring,7/17/18,,,,MH,Spring,45.49070234,-121.754485,686.7144,5.3,11.51,41.8,6.17,157.6,,,,,,,,,,,,13796,0.15,NW,West,Outlier
White River Glacier Outwash,White River Glacier Outwash,9/18/19,,MtH1_C10,0,MH,Stream,45.30433601,-121.6734931,1298.1432,9.1,9.23,84,7.93,231.8,33,40,7.51,6.67,3.29,0.869,27.4,8.91,0.043,13.3,88,7897.4,0.51,SE,East,Far Stream
Near NF 3540,NF 3540 Spring,7/24/17,,,,MH,Spring,45.30345497,-121.6077977,1341.12,6.8,9.15,77.1,7.28,215.6,27,33,4.9,0.586,0.85,0.38,21.2,2.3,0.035,0.545,47,10419.7,0.28,SE,East,Outlier
Meadows Spring,JM-Meadows1,9/16/19,MtH25_D12_S290,MtH25_E10,0,MH,Spring,45.33607449,-121.6711186,1699.26,6.3,9.3,363.1,7.63,186.6,90,110,24.9,43.4,13.7,3.61,50,24.8,0.167,31.1,247,4603.8,0.53,SE,East,Warm Springs
Clark Creek at 35,Clark Creek at 35,9/18/19,,MtH22_E07,0,MH,Stream,45.32056277,-121.6096881,1258.2144,9,9.39,61.5,7.89,213.4,36,43,5.84,,2.52,0.983,29.6,4.34,0.037,5.13,70,8972.1,0.72,SE,East,Far Stream
Clark Creek at 35,Clark Creek at 35,9/18/19,,MtH23_E08,1,MH,Stream,45.32056277,-121.6096881,1258.2144,9,9.39,61.5,7.89,213.4,36,43,5.84,,2.52,0.983,29.6,4.34,0.037,5.13,70,8972.1,0.72,SE,East,Far Stream
Bell Spring,Bell Spring,10/10/16,JM165_Bell_45,,1,MH,Spring,45.24085857,-121.5045804,1259.7384,5.6,8.14,51.1,5.98,319.6,34,42,5.43,,2.74,0.373,22.6,2.47,0.064,,56,21047.5,0.65,SE,East,Outlier
Bell Spring,Bell Spring,10/10/16,JM169_Bell_20,,2,MH,Spring,45.24085857,-121.5045804,1259.7384,5.6,8.14,51.1,5.98,319.6,34,42,5.43,,2.74,0.373,22.6,2.47,0.064,,56,21047.5,0.65,SE,East,Outlier
Bell Spring,Bell Spring,7/26/17,JM172_Bell_Spring,,1,MH,Spring,45.24085857,-121.5045804,1259.74,5.6,8.56,50,6.87,193.7,29,36,4.67,0.634,2.43,0.31,19.6,2.26,0.062,0.179,48,21047.5,0.64,SE,East,Outlier
Bell Spring,Bell Spring,7/26/17,JM1716_Bell_Spring,JM1716_Bell_Spring,2,MH,Spring,45.24085857,-121.5045804,1259.74,5.6,8.56,50,6.87,193.7,29,36,4.67,0.634,2.43,0.31,19.6,2.26,0.062,0.179,48,21047.5,0.64,SE,East,Outlier
The Real Buzzard Fountain,The Real Buzzard Fountain,9/17/19,MtH26_E01_S292,MtH26_E11,0,MH,Spring,45.27652084,-121.6929596,1280.16,4.3,9.09,39.7,7.02,306.7,23,28,3.3,,0.914,1.57,37.9,2.73,0.037,,62,10791.8,0.46,SE,East,Outlier
